#SampleID	BarcodeSequence	LinkerPrimerSequence	Description
542E1			p5_B01_AKC_2017_VB15-04955_testedNeg_30+15
446E2			p5_B02_AKC_2017_VB15-03046_testedNeg_30+15
589E3			p5_B03_AKC_2017_VB14-00071_testedNeg_30+15
477E4			p5_B04_AKC_2017_VB14-00127_testedNeg_30+15
594E5			p5_B05_AKC_2017_VB14-00218_testedNeg_30+15
725E6			p5_B06_AKC_2017_VB14-00340_testedNeg_30+15
646E7			p5_B07_AKC_2017_VB14-00455_testedNeg_30+15
419E8			p5_B08_AKC_2017_VB14-00481_testedNeg_30+15
630E9			p5_B09_AKC_2017_VB14-00559_testedNeg_30+15
262E10			p5_B10_AKC_2017_VB14-00852_testedNeg_30+15
182E11			p5_B11_AKC_2017_VB14-00962_testedNeg_30+15
136E12			p5_B12_AKC_2017_excluded_testedNeg_30+15
759E1			p5_C01_AKC_2017_VB14-01392_testedNeg_30+15
273E2			p5_C02_AKC_2017_VB14-01473_testedNeg_30+15
763E3			p5_C03_AKC_2017_VB14-01583_testedNeg_30+15
723E4			p5_C04_AKC_2017_excluded_testedNeg_30+15
827E5			p5_C05_AKC_2017_VB14-02101_testedNeg_30+15
293E6			p5_C06_AKC_2017_VB14-02117_testedNeg_30+15
880E7			p5_C07_AKC_2017_VB14-02503_testedNeg_30+15
